Type of crossover,Generation,Mean,Best 
Order Crossover,0,33.68,22.0
Cycle Crossover,0,33.68,22.0
Elitism Order Crossover,0,33.68,22.0
Elitism Cycle Crossover,0,33.68,22.0
Order Crossover,1,28.16,18.0
Cycle Crossover,1,27.08,14.0
Elitism Order Crossover,1,28.94,20.0
Elitism Cycle Crossover,1,27.42,18.0
Order Crossover,2,25.5,18.0
Cycle Crossover,2,21.32,12.0
Elitism Order Crossover,2,24.62,18.0
Elitism Cycle Crossover,2,20.42,16.0
Order Crossover,3,22.68,18.0
Cycle Crossover,3,14.9,10.0
Elitism Order Crossover,3,24.0,16.0
Elitism Cycle Crossover,3,17.54,16.0
Order Crossover,4,23.22,16.0
Cycle Crossover,4,11.8,8.0
Elitism Order Crossover,4,22.54,16.0
Elitism Cycle Crossover,4,17.3,16.0
Order Crossover,5,23.62,14.0
Cycle Crossover,5,10.2,8.0
Elitism Order Crossover,5,17.54,14.0
Elitism Cycle Crossover,5,16.88,14.0
Order Crossover,6,20.94,14.0
Cycle Crossover,6,9.04,8.0
Elitism Order Crossover,6,18.52,12.0
Elitism Cycle Crossover,6,15.76,12.0
Order Crossover,7,19.4,12.0
Cycle Crossover,7,9.66,8.0
Elitism Order Crossover,7,16.9,10.0
Elitism Cycle Crossover,7,14.28,10.0
Order Crossover,8,17.9,12.0
Cycle Crossover,8,9.66,8.0
Elitism Order Crossover,8,14.86,8.0
Elitism Cycle Crossover,8,12.14,10.0
Order Crossover,9,17.3,12.0
Cycle Crossover,9,9.76,8.0
Elitism Order Crossover,9,10.9,8.0
Elitism Cycle Crossover,9,11.48,10.0
Order Crossover,10,15.64,10.0
Cycle Crossover,10,9.54,8.0
Elitism Order Crossover,10,9.62,8.0
Elitism Cycle Crossover,10,11.26,8.0
Order Crossover,11,18.12,10.0
Cycle Crossover,11,9.62,6.0
Elitism Order Crossover,11,10.24,6.0
Elitism Cycle Crossover,11,10.54,8.0
Order Crossover,12,14.14,10.0
Cycle Crossover,12,8.42,6.0
Elitism Order Crossover,12,9.42,6.0
Elitism Cycle Crossover,12,9.62,8.0
Order Crossover,13,15.36,8.0
Cycle Crossover,13,7.6,6.0
Elitism Order Crossover,13,9.06,6.0
Elitism Cycle Crossover,13,9.22,6.0
Order Crossover,14,14.4,8.0
Cycle Crossover,14,7.42,4.0
Elitism Order Crossover,14,7.96,6.0
Elitism Cycle Crossover,14,8.72,6.0
Order Crossover,15,12.2,8.0
Cycle Crossover,15,6.56,4.0
Elitism Order Crossover,15,8.74,6.0
Elitism Cycle Crossover,15,7.38,6.0
Order Crossover,16,12.26,8.0
Cycle Crossover,16,6.06,4.0
Elitism Order Crossover,16,8.28,6.0
Elitism Cycle Crossover,16,7.22,6.0
Order Crossover,17,12.52,8.0
Cycle Crossover,17,5.5,4.0
Elitism Order Crossover,17,7.76,4.0
Elitism Cycle Crossover,17,7.18,2.0
Order Crossover,18,12.82,8.0
Cycle Crossover,18,5.46,4.0
Elitism Order Crossover,18,10.78,4.0
Elitism Cycle Crossover,18,4.68,2.0
Order Crossover,19,12.68,6.0
Cycle Crossover,19,6.12,4.0
Elitism Order Crossover,19,11.82,4.0
Elitism Cycle Crossover,19,3.78,2.0
Order Crossover,20,12.54,6.0
Cycle Crossover,20,5.6,4.0
Elitism Order Crossover,20,14.58,4.0
Elitism Cycle Crossover,20,4.0,2.0
Order Crossover,21,10.44,4.0
Cycle Crossover,21,5.94,4.0
Elitism Order Crossover,21,11.32,4.0
Elitism Cycle Crossover,21,4.04,2.0
Order Crossover,22,10.96,4.0
Cycle Crossover,22,5.74,4.0
Elitism Order Crossover,22,12.64,4.0
Elitism Cycle Crossover,22,3.72,2.0
Order Crossover,23,9.32,4.0
Cycle Crossover,23,5.22,4.0
Elitism Order Crossover,23,12.78,4.0
Elitism Cycle Crossover,23,3.62,2.0
Order Crossover,24,9.24,4.0
Cycle Crossover,24,5.72,4.0
Elitism Order Crossover,24,13.06,4.0
Elitism Cycle Crossover,24,3.58,2.0
Order Crossover,25,9.3,4.0
Cycle Crossover,25,5.86,4.0
Elitism Order Crossover,25,14.08,4.0
Elitism Cycle Crossover,25,4.26,2.0
Order Crossover,26,8.98,4.0
Cycle Crossover,26,5.64,4.0
Elitism Order Crossover,26,14.84,4.0
Elitism Cycle Crossover,26,4.04,2.0
Order Crossover,27,8.9,4.0
Cycle Crossover,27,5.86,4.0
Elitism Order Crossover,27,12.22,4.0
Elitism Cycle Crossover,27,3.22,2.0
Order Crossover,28,9.54,4.0
Cycle Crossover,28,5.98,4.0
Elitism Order Crossover,28,13.92,4.0
Elitism Cycle Crossover,28,3.54,2.0
Order Crossover,29,8.84,4.0
Cycle Crossover,29,5.98,4.0
Elitism Order Crossover,29,13.9,4.0
Elitism Cycle Crossover,29,3.44,2.0
Order Crossover,30,9.18,4.0
Cycle Crossover,30,5.6,4.0
Elitism Order Crossover,30,14.34,4.0
Elitism Cycle Crossover,30,3.38,2.0
Order Crossover,31,8.34,4.0
Cycle Crossover,31,5.82,4.0
Elitism Order Crossover,31,10.88,4.0
Elitism Cycle Crossover,31,4.16,2.0
Order Crossover,32,8.3,4.0
Cycle Crossover,32,5.74,4.0
Elitism Order Crossover,32,14.26,4.0
Elitism Cycle Crossover,32,3.66,2.0
Order Crossover,33,9.12,4.0
Cycle Crossover,33,6.28,4.0
Elitism Order Crossover,33,13.78,2.0
Elitism Cycle Crossover,33,3.58,2.0
Order Crossover,34,8.7,4.0
Cycle Crossover,34,6.02,4.0
Elitism Order Crossover,34,14.26,2.0
Elitism Cycle Crossover,34,3.36,2.0
Order Crossover,35,9.62,4.0
Cycle Crossover,35,5.62,4.0
Elitism Order Crossover,35,13.24,2.0
Elitism Cycle Crossover,35,3.88,2.0
Order Crossover,36,9.04,4.0
Cycle Crossover,36,5.52,4.0
Elitism Order Crossover,36,12.3,2.0
Elitism Cycle Crossover,36,3.94,2.0
Order Crossover,37,9.12,4.0
Cycle Crossover,37,5.8,4.0
Elitism Order Crossover,37,10.98,2.0
Elitism Cycle Crossover,37,3.36,2.0
Order Crossover,38,7.76,4.0
Cycle Crossover,38,6.12,4.0
Elitism Order Crossover,38,11.54,2.0
Elitism Cycle Crossover,38,3.9,2.0
Order Crossover,39,9.3,4.0
Cycle Crossover,39,5.68,4.0
Elitism Order Crossover,39,10.08,2.0
Elitism Cycle Crossover,39,3.6,2.0
Order Crossover,40,8.52,4.0
Cycle Crossover,40,5.86,4.0
Elitism Order Crossover,40,14.54,2.0
Elitism Cycle Crossover,40,3.92,2.0
Order Crossover,41,9.42,4.0
Cycle Crossover,41,5.68,2.0
Elitism Order Crossover,41,9.8,2.0
Elitism Cycle Crossover,41,3.9,2.0
Order Crossover,42,9.12,4.0
Cycle Crossover,42,4.74,2.0
Elitism Order Crossover,42,10.0,2.0
Elitism Cycle Crossover,42,3.62,2.0
Order Crossover,43,7.78,4.0
Cycle Crossover,43,4.06,2.0
Elitism Order Crossover,43,12.22,2.0
Elitism Cycle Crossover,43,3.46,2.0
Order Crossover,44,8.62,4.0
Cycle Crossover,44,4.28,2.0
Elitism Order Crossover,44,11.46,2.0
Elitism Cycle Crossover,44,3.64,2.0
Order Crossover,45,9.3,4.0
Cycle Crossover,45,3.66,2.0
Elitism Order Crossover,45,13.44,2.0
Elitism Cycle Crossover,45,3.3,2.0
Order Crossover,46,9.16,4.0
Cycle Crossover,46,4.3,2.0
Elitism Order Crossover,46,12.06,2.0
Elitism Cycle Crossover,46,3.68,2.0
Order Crossover,47,8.4,4.0
Cycle Crossover,47,4.2,2.0
Elitism Order Crossover,47,12.26,2.0
Elitism Cycle Crossover,47,4.14,2.0
Order Crossover,48,8.24,4.0
Cycle Crossover,48,3.64,2.0
Elitism Order Crossover,48,12.7,2.0
Elitism Cycle Crossover,48,3.68,0.0
Order Crossover,49,8.38,4.0
Cycle Crossover,49,3.76,2.0
Elitism Order Crossover,49,11.5,2.0
Elitism Cycle Crossover,49,2.52,0.0
Order Crossover,50,9.06,4.0
Cycle Crossover,50,3.98,2.0
Elitism Order Crossover,50,13.88,2.0
Elitism Cycle Crossover,50,1.84,0.0
Order Crossover,51,9.42,4.0
Cycle Crossover,51,4.04,2.0
Elitism Order Crossover,51,12.14,2.0
Elitism Cycle Crossover,51,2.04,0.0
Order Crossover,52,8.72,4.0
Cycle Crossover,52,3.88,2.0
Elitism Order Crossover,52,11.36,2.0
Elitism Cycle Crossover,52,1.48,0.0
Order Crossover,53,8.94,4.0
Cycle Crossover,53,3.74,2.0
Elitism Order Crossover,53,13.18,2.0
Elitism Cycle Crossover,53,2.54,0.0
Order Crossover,54,9.56,4.0
Cycle Crossover,54,3.72,2.0
Elitism Order Crossover,54,12.4,2.0
Elitism Cycle Crossover,54,1.88,0.0
Order Crossover,55,9.38,4.0
Cycle Crossover,55,3.8,2.0
Elitism Order Crossover,55,13.0,2.0
Elitism Cycle Crossover,55,2.02,0.0
Order Crossover,56,10.06,4.0
Cycle Crossover,56,3.34,2.0
Elitism Order Crossover,56,12.1,0.0
Elitism Cycle Crossover,56,1.24,0.0
Order Crossover,57,9.5,4.0
Cycle Crossover,57,4.28,2.0
Elitism Order Crossover,57,10.6,0.0
Elitism Cycle Crossover,57,1.96,0.0
Order Crossover,58,9.58,4.0
Cycle Crossover,58,4.04,2.0
Elitism Order Crossover,58,10.98,0.0
Elitism Cycle Crossover,58,2.28,0.0
Order Crossover,59,8.5,4.0
Cycle Crossover,59,3.8,0.0
Elitism Order Crossover,59,11.18,0.0
Elitism Cycle Crossover,59,1.5,0.0
Order Crossover,60,9.84,4.0
Cycle Crossover,60,2.48,0.0
Elitism Order Crossover,60,9.32,0.0
Elitism Cycle Crossover,60,1.86,0.0
Order Crossover,61,9.86,4.0
Cycle Crossover,61,1.84,0.0
Elitism Order Crossover,61,9.96,0.0
Elitism Cycle Crossover,61,2.18,0.0
