Type of crossover,Generation,Mean,Best 
Elitism Order Crossover,38,2.62,2
Elitism Cycle Crossover,38,1.88,6
Order Crossover,39,3.46,0
Cycle Crossover,39,2.02,0
Elitism Order Crossover,39,2.4,0
Elitism Cycle Crossover,39,1.72,0
Order Crossover,40,4.3,0
Cycle Crossover,40,1.92,6
Elitism Order Crossover,40,3.12,0
Elitism Cycle Crossover,40,2.58,0
Order Crossover,41,4.32,0
Cycle Crossover,41,1.7,0
Elitism Order Crossover,41,2.48,4
Elitism Cycle Crossover,41,1.92,0
Order Crossover,42,4.2,6
Cycle Crossover,42,2.1,0
Elitism Order Crossover,42,2.4,4
Elitism Cycle Crossover,42,1.94,0
Order Crossover,43,4.32,0
Cycle Crossover,43,2.18,4
Elitism Order Crossover,43,2.28,6
Elitism Cycle Crossover,43,2.32,6
Order Crossover,44,4.3,6
Cycle Crossover,44,1.62,0
Elitism Order Crossover,44,2.74,8
Elitism Cycle Crossover,44,2.04,0
Order Crossover,45,3.56,0
Cycle Crossover,45,1.44,4
Elitism Order Crossover,45,2.52,6
Elitism Cycle Crossover,45,1.66,0
Order Crossover,46,3.96,6
Cycle Crossover,46,2.38,0
Elitism Order Crossover,46,2.9,0
Elitism Cycle Crossover,46,1.64,8
Order Crossover,47,3.7,0
Cycle Crossover,47,1.54,0
Elitism Order Crossover,47,2.84,6
Elitism Cycle Crossover,47,2.3,0
Order Crossover,48,3.96,4
Cycle Crossover,48,1.96,0
Elitism Order Crossover,48,2.46,0
Elitism Cycle Crossover,48,2.08,0
Order Crossover,49,4.7,10
Cycle Crossover,49,1.78,6
Elitism Order Crossover,49,2.58,6
Elitism Cycle Crossover,49,1.8,0
Order Crossover,50,4.04,6
Cycle Crossover,50,1.56,6
Elitism Order Crossover,50,2.34,0
Elitism Cycle Crossover,50,2.58,0
Order Crossover,51,3.68,4
Cycle Crossover,51,2.1,0
Elitism Order Crossover,51,2.36,0
Elitism Cycle Crossover,51,1.98,8
Order Crossover,52,3.46,0
Cycle Crossover,52,1.34,0
Elitism Order Crossover,52,2.18,0
Elitism Cycle Crossover,52,1.82,0
Order Crossover,53,4.04,0
Cycle Crossover,53,2.04,4
Elitism Order Crossover,53,3.08,0
Elitism Cycle Crossover,53,1.98,6
Order Crossover,54,4.34,6
Cycle Crossover,54,1.8,4
Elitism Order Crossover,54,2.48,4
Elitism Cycle Crossover,54,2.16,0
Order Crossover,55,4.4,0
Cycle Crossover,55,2.4,0
Elitism Order Crossover,55,2.4,0
Elitism Cycle Crossover,55,2.02,4
Order Crossover,56,4.2,6
Cycle Crossover,56,1.64,0
Elitism Order Crossover,56,2.08,2
Elitism Cycle Crossover,56,2.56,4
Order Crossover,57,3.78,6
Cycle Crossover,57,2.28,0
Elitism Order Crossover,57,2.8,0
Elitism Cycle Crossover,57,1.84,4
Order Crossover,58,3.92,0
Cycle Crossover,58,1.84,0
Elitism Order Crossover,58,1.88,0
Elitism Cycle Crossover,58,2.14,4
Order Crossover,59,3.82,4
Cycle Crossover,59,2.14,2
Elitism Order Crossover,59,2.46,4
Elitism Cycle Crossover,59,2.4,0
Order Crossover,60,4.28,0
Cycle Crossover,60,1.52,6
Elitism Order Crossover,60,3.14,6
Elitism Cycle Crossover,60,1.78,8
Order Crossover,61,3.34,0
Cycle Crossover,61,2.12,8
Elitism Order Crossover,61,2.58,6
Elitism Cycle Crossover,61,2.36,0
Order Crossover,62,4.94,6
Cycle Crossover,62,1.6,0
Elitism Order Crossover,62,2.4,4
Elitism Cycle Crossover,62,2.08,0
Order Crossover,63,4.78,0
Cycle Crossover,63,2.32,10
Elitism Order Crossover,63,2.6,6
Elitism Cycle Crossover,63,1.82,0
Order Crossover,64,3.96,6
Cycle Crossover,64,1.72,0
Elitism Order Crossover,64,2.34,6
Elitism Cycle Crossover,64,2.32,0
Order Crossover,65,3.62,8
Cycle Crossover,65,1.9,0
Elitism Order Crossover,65,2.52,0
Elitism Cycle Crossover,65,1.4,0
Order Crossover,66,3.84,4
Cycle Crossover,66,1.64,6
Elitism Order Crossover,66,2.62,6
Elitism Cycle Crossover,66,1.3,0
Order Crossover,67,4.24,0
Cycle Crossover,67,1.6,4
Elitism Order Crossover,67,2.34,4
Elitism Cycle Crossover,67,2.02,0
Order Crossover,68,3.88,4
Cycle Crossover,68,1.96,6
Elitism Order Crossover,68,2.56,0
Elitism Cycle Crossover,68,2.3,0
Order Crossover,69,4.46,4
Cycle Crossover,69,2.28,4
Elitism Order Crossover,69,2.4,4
Elitism Cycle Crossover,69,2.4,0
Order Crossover,70,4.42,0
Cycle Crossover,70,1.8,6
Elitism Order Crossover,70,3.0,4
